H,Q,D,SSR,Sqz_label
150,0.4,6,0.627,N
200,0.4,6,0.335,N
52,15,13,2.721,N
280,0.05,3,0.1,Y
100,0.005,4.2,0.011,Y
112,0.006,4,0.003,Y
111,0.008,4.3,0.021,N
112,0.008,4,0.003,N
112,0.008,4,0.015,N
140,0.009,4,0.013,N
100,0.01,4.2,0.098,Y
138,0.013,4,0.018,N
212,0.04,4.4,0.063,N
300,0.05,5,0.063,N
112,0.06,4,0.272,N
95,0.065,4,0.295,N
218,0.07,4,0.155,N
98,0.08,4,0.169,N
284,0.09,5,0.238,Y
300,0.09,5,0.089,N
261,0.095,4,0.259,N
198,0.14,4,0.39,N
225,0.14,4,0.09,N
130,0.2,5,0.468,N
158,0.23,4.1,0.284,N
276,0.25,5,0.332,N
276,0.28,5,0.264,N
126,0.3,4,1.368,N
114,0.47,4,0.756,N
114,0.6,4,0.904,N
300,0.023,4.6,0.101,Y
350,0.5,4.8,0.1,Y
480,0.8,2.5,0.24,Y
410,0.18,7,0.28,Y
800,2.5,4.75,0.1,Y
550,0.029,8.7,0.265,Y
600,0.023,8.7,0.243,Y
600,0.03,8.7,0.243,Y
600,0.018,8.7,0.243,Y
600,0.023,8.7,0.243,Y
620,0.02,8.7,0.235,Y
620,0.008,8.7,0.235,Y
620,0.009,8.7,0.235,Y
620,0.009,8.7,0.235,Y
620,0.016,8.7,0.228,Y
620,0.02,8.7,0.235,Y
620,0.025,8.7,0.235,Y
580,0.023,8.7,0.251,Y
580,0.025,8.7,0.251,Y
550,0.025,8.7,0.265,Y
575,0.007,8.7,0.253,Y
181.2,1.25,5.4,1.875,N
199.7,0.02,5.4,0.158,Y
217.5,0.013,5.4,0.082,Y
252.2,0.01,5.4,0.118,Y
246.3,0.01,5.4,0.177,Y
283.9,0.008,5.4,0.065,Y
284.5,0.008,5.4,0.076,Y
210.8,0.01,5.4,0.097,Y
237.7,0.01,5.4,0.126,Y
230,0.015,5.4,0.133,Y
222.6,0.015,5.4,0.341,Y
600,0.015,5.5,0.06,Y
300,0.015,10,0.25,Y
200,0.046,6.5,0.331,Y
120,0.01,16,0.09,Y
140,0.215,12,0.549,N
80,93.5,5.4,8.611,N
190,7.45,5.4,1.745,N
130,1.53,5.4,1.216,N
300,0.215,6.5,1.102,N
300,4.642,6.5,2,N
110,0.046,16,0.49,N
110,1,16,0.87,N
80,10,16,1.18,N
500,0.215,6.5,0.43,Y
500,1,6.5,0.54,Y
500,1,6.5,1.41,N
500,21.544,6.5,2.78,N
140,2.154,12,0.861,N
200,0.006,6.5,0.14,Y
200,0.086,6.5,0.331,Y
200,2.154,6.5,0.66,Y
400,0.001,6.5,0.07,Y
400,0.046,6.5,0.38,Y
37,0.005,11,0.263,Y
51,0.003,11,0.548,Y
60,0.009,11,0.29,Y
68,0.005,11,0.143,Y
72,0.01,11,0.242,Y
83,0.009,11,0.336,Y
84,0.009,11,0.332,Y
89,0.004,11,0.109,Y
93,0.005,11,0.105,Y
94,0.007,11,0.185,Y
